tree_id,username,label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4rl42j,ThatBelligerentSloth,1.0,0.9999998642225436,-0.0005127266700062251,9.309272821289136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,Hq3473,0.0,-0.99999988442542,0.0004807797280816119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,Mintnose,0.0,-0.9999999909447777,6.505192900353824e-08,-3.363248678871392e-08,3.2906645842031638e-06,2.981812870428133e-06,9.849757890933871e-07,0.000134498139716388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,Octobers_second_one,0.0,-0.999999979799252,9.99573897355724e-05,-2.4162894661362e-05,2.8362885647080514e-07,5.104602797044754e-06,-7.141580919217825e-06,5.253492830546728e-06,-5.432070092111291e-06,9.477568956155847e-06,-9.606007493639997e-06,-2.611364917500807e-07,0.00017178403908157236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,yaxamie,1.0,-0.9999999869520092,7.47859318388692e-05,-1.5677895641983097e-05,7.020523015419435e-05,1.1309138128178041e-06,0.0001238030544451072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,EmilyRose607,0.0,0.9999999292016012,-0.00010109446145853465,2.8894412104249104e-05,-0.0002033136703448191,-5.335563057965437e-06,-8.325032426039575e-05,-4.481538130478246e-06,5.0547099202281564e-06,-3.5874649830159466e-05,0.00013272702260952026,5.874311446383668e-06,1.6704868245139472e-05,-2.5789428387086096e-05,0.0002496368157994752,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,Sheexthro,0.0,-0.99999993416178,9.071909143891756e-05,2.6823580834215696e-07,0.00030231810283978567,-4.941421193758724e-06,5.9669071321670176e-05,-5.165371270468811e-06,2.389684661346163e-05,-7.814362964365781e-06,-0.00015731235160247156,5.531165112647018e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,Gladix,1.0,0.9999999419012388,-9.168140257916562e-05,1.0090038006039791e-05,-0.0002725312019474531,6.942031010536681e-07,-6.402747913905721e-05,1.084507198418788e-06,-1.4997538402952054e-05,-7.479486946260768e-06,0.00012024465300156194,-8.194585406303021e-06,3.497962385070135e-06,0.0001204025157037718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,Letshavemorefun,1.0,0.9999998494052044,-0.0001478712621217179,-5.0538854895904576e-06,-0.0004511994341392919,7.288081094864058e-06,-9.890143005792037e-05,7.708360311773869e-06,-2.4805083663786552e-05,5.042465299660751e-05,0.0002503302248158831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4rl42j,Ansuz07,0.0,-0.9999998994176093,0.00010685815344362745,-1.4365906655470374e-05,0.0004353616051590541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
