tree_id,username,label,1,2,3,4,5,6,7,8,9,10,11
5uy4id,mnmgod,0.0,1.8658768923849632e-06,9.677806008494013e-07,3.627590858378132e-06,4.1838010743403456e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5uy4id,Theo93,1.0,-3.648002677716572e-06,1.7347483204142644e-06,-7.561243828970897e-06,-2.4963227474853354e-05,2.9146884603441413e-05,0.0,0.0,0.0,0.0,0.0,0.0
5uy4id,math2ndperiod,0.0,5.568959996524276e-06,8.276146595241544e-07,4.515441689444487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5uy4id,Hq3473,0.0,3.1474384607379405e-06,-1.2727732844695986e-06,7.133113387023616e-06,2.323257709204017e-05,-2.964284738337871e-05,-1.2780794552626886e-06,-1.1973130250042014e-06,2.327602068074276e-07,-1.882576038942674e-07,-4.86983151217954e-07,1.3916795083658146e-05
5uy4id,RetiredGaymerEsq,0.0,2.198437001504052e-06,1.7921279318724576e-07,3.2950851566963678e-06,1.2130967990813205e-05,-2.461239387758553e-05,3.3174146639510245e-05,0.0,0.0,0.0,0.0,0.0
5uy4id,AlexaWikipediaSmegma,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5uy4id,Minigirl17,,4.6011010860030374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5uy4id,-AragornElessar-,,1.271086949213313e-06,3.170290595595486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5uy4id,Government_Slavery,,-2.695747354416837e-05,2.6288126672999814e-06,-1.9188481512129937e-06,-2.686182830321354e-06,-5.4536936662308915e-06,-3.224421597699201e-06,3.464557310385189e-05,0.0,0.0,0.0,0.0
5uy4id,Havenkeld,,-2.1647425574436343e-06,-3.078541349795193e-06,1.149188486120037e-06,-3.188885148256369e-07,1.5830653822084924e-06,9.421124734131737e-07,1.885313053185136e-06,3.593673689700439e-05,0.0,0.0,0.0
5uy4id,palacesofparagraphs,,-4.810719183529607e-06,-3.827659580217401e-06,7.0055030907025055e-06,2.6024928720071943e-06,-2.9913062270624707e-06,2.1821505428399297e-06,-4.0813488213245375e-06,-1.165047599610746e-05,3.84095112750122e-05,0.0,0.0
5uy4id,undiscoveredlama,,-4.843933450393804e-06,-3.7759041162112604e-06,5.3192232969145614e-06,1.26064335235324e-06,-2.1513698754045382e-06,1.3535832562519094e-06,-3.1791877667512457e-06,-1.107456887986411e-05,-2.417102764840897e-05,2.8401034695515972e-05,0.0
