tree_id,username,label,1,2,3,4,5,6,7,8,9,10,11,12,13
66cfes,ZeusThunder369,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66cfes,CoyotePatronus,,5.2936278141940885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66cfes,electronics12345,,-4.6785327592772254e-07,9.926130673484858e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66cfes,TBFProgrammer,,-7.390991592482582e-06,-8.148074304500756e-05,5.059224025828777e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66cfes,SocialJusticeWizard_,,9.441627928161068e-07,-8.68787930919451e-05,1.7763505980844157e-06,3.454815182547005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66cfes,The_Real_Mongoose,,-2.601648939565336e-06,-9.039826671544624e-05,-7.836247467945164e-06,1.8297871988811927e-06,3.0196351100899517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66cfes,groman28,,-1.299939416785297e-06,-6.442648114126174e-06,-8.997271200212598e-06,3.5400141739916694e-06,-8.436144591488608e-06,6.199195489580816e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66cfes,One_Winged_Rook,,1.3327430043015942e-06,4.6110570169489434e-06,-6.282140115553932e-06,-6.550698393970037e-07,-5.5960347514803285e-06,-2.988902293026138e-06,4.220677954953305e-05,0.0,0.0,0.0,0.0,0.0,0.0
66cfes,Salanmander,,4.2609009977453377e-07,5.635634199067156e-06,9.369152013721857e-07,-1.389443729384351e-06,1.7631369061377601e-06,6.40026345143085e-07,2.520198648745066e-06,2.8701938078095283e-05,0.0,0.0,0.0,0.0,0.0
66cfes,nestorrobespierre,,8.126778933749447e-07,-2.4567415557735855e-07,-8.010379522144127e-06,1.2185405760293114e-06,-7.378941162825729e-06,-3.3548810819392237e-06,-7.16570675330305e-07,1.7335019941093522e-06,5.163966291404978e-05,0.0,0.0,0.0,0.0
66cfes,benjotron,,-4.418679521423558e-07,2.1332510294138265e-06,-1.4284112687569692e-06,-1.3821168295000016e-07,-1.1549626575946145e-06,-6.552813564419729e-07,-1.210816759581127e-07,-1.8463309442561229e-06,-8.014834889762212e-07,2.0030480977755162e-05,0.0,0.0,0.0
66cfes,VertigoOne,,-1.9665500090823034e-06,-4.344000220570806e-05,1.4752086411329833e-05,1.0614653394296917e-05,1.3626314379166425e-05,-1.4624107873157508e-06,-9.306199095293331e-07,-4.600871306756305e-06,1.8398626846846581e-06,1.5909840008903962e-06,6.988892815809008e-05,0.0,0.0
66cfes,Samsmithbangbang,,9.887759654577487e-06,4.3963532691506986e-05,5.811699826420702e-06,-1.2420258610007173e-05,8.46742945662006e-06,1.835695791783537e-05,1.2918484438930047e-05,-6.113527331525613e-06,1.4171197193150147e-05,1.903778917004876e-06,-5.0275381977294876e-05,3.077438843570586e-05,0.0
66cfes,galentines_day,,-1.1495264357168953e-12,-2.578468438558329e-12,1.4153987264476417e-12,3.939852966657407e-12,3.64351512576779e-12,-6.08551727047768e-12,-4.354193835333679e-12,-2.098240181619565e-12,9.965646317835186e-12,1.056537270824619e-12,4.234715397829275e-12,-3.890099394570692e-12,1.0
