username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
hedic,-0.9999999797164698,-1.0810246774303765e-09,-1.1095017808436256e-07,3.046253197553064e-07,9.29294288625201e-07,-3.3086201859920545e-07,2.3431973896754705e-07,-2.0566655669989707e-07,-2.1383544390984094e-08,2.516323111194843e-07,1.0629732486544367e-07,8.512557199238205e-07,2.367241025208095e-08,6.692485754528726e-07,-1.8809569438917383e-07,-2.9139506192691007e-07,-2.2081764801650426e-07,-2.997614307889257e-07,1.7391546000043866e-07,3.818404432138024e-07,0.00020140556422898294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AloysiusC,-0.9999999797164698,-1.081004870220837e-09,-1.1094916172230181e-07,3.0462445229851785e-07,9.29294288625201e-07,-3.3086201859920545e-07,2.3431973896754705e-07,-2.056673341773699e-07,-2.1382144027893657e-08,2.516316767344192e-07,1.0629732468255244e-07,8.512555461606373e-07,2.3671922023571498e-08,6.69248451664022e-07,-1.8809627545115377e-07,-2.913950578001793e-07,-2.2081764801650426e-07,-2.997614307889257e-07,1.7391546000043866e-07,3.818415456868468e-07,3.811172030213722e-07,0.00020140520363493738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weisse_Rose,-0.9999999805936883,3.072824463897537e-10,3.153799837363967e-08,2.1320911138961156e-07,9.92680786795848e-05,1.2444141550235162e-07,-1.9984861198777612e-07,-3.206798650557396e-07,-4.892000412873347e-07,7.524349453768925e-05,3.884139448074192e-08,2.8515034434319336e-07,-1.5686510228125874e-06,-1.9135320052735394e-07,-4.0718789288591066e-07,-4.7234999299454955e-07,-1.6873482348280693e-07,-8.358378928483847e-05,-1.1549876699979741e-07,2.037365656757158e-07,2.0335012083233488e-07,2.029662374799728e-07,0.0001276990968642287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SaintBio,-0.9999999948971673,-3.6411857392250016e-09,-3.737138625098737e-07,2.816970629569608e-07,-4.2343535390761244e-07,-4.4835158901987844e-07,3.764978200699791e-07,-5.6861003808566435e-08,2.1206118387425633e-07,-4.42443606951133e-07,1.0321683283368629e-07,4.96807195176584e-07,2.4986916690927e-07,2.207582982579002e-07,1.2272626683883276e-07,1.6985442163033386e-07,-4.3916643487004754e-07,9.291059625181136e-08,4.11547409823625e-07,1.0415046393755122e-07,1.0395319097695833e-07,1.0375721810090116e-07,-6.20192562459517e-08,0.00010101416053089723,0.0,0.0,0.0,0.0,0.0,0.0
KirkwallDay,-0.9999999578584223,-2.3858675214534226e-08,-2.448739798939241e-06,2.409353293353489e-08,-4.693300779670895e-06,-9.831481404070873e-07,4.200694438924885e-07,-4.367078746555971e-07,4.874229805255692e-07,-2.6823515662459765e-06,1.6732596982979008e-07,-4.335146046984006e-06,6.035497108117746e-06,6.747479650393602e-06,-3.861669691195645e-07,-3.2335602810701064e-07,6.687316300070977e-07,1.07341060202201e-06,1.1600956096665457e-06,4.298437684006484e-07,4.290290644189109e-07,4.282190849443878e-07,-1.4025552738879112e-06,9.433440463568712e-07,0.00029006719467712406,0.0,0.0,0.0,0.0,0.0
cheertina,0.9999999473675215,2.8946870044250708e-08,2.9709680819827625e-06,-1.171448475726359e-07,4.931976545085107e-06,1.2907701928548012e-06,-5.522181077618554e-07,5.994989205798712e-07,-5.16192039855522e-07,2.6946182762635914e-06,-2.2503269985567837e-07,4.921066262837073e-06,-6.041875325365215e-06,-7.185195689168929e-06,4.671100851367309e-07,4.7350840708804717e-07,-4.99396501241516e-07,-1.0514818042539514e-06,-1.365816389815731e-06,-5.266512296275638e-07,-5.256542656528968e-07,-5.246599619557197e-07,1.5808203670956853e-06,-1.1346184772244198e-06,-0.0002909211315522616,0.0001430599485850063,0.0,0.0,0.0,0.0
ZeusThunder369,-0.9999999910472435,-2.8883995358769746e-09,-2.964514925443106e-07,3.5785494604131836e-07,-2.0085810602454136e-05,-5.331747186795782e-07,4.723200783159132e-07,-8.770169070504655e-08,2.4038352737835937e-07,-3.454871509396293e-05,1.2878089947243628e-07,8.45084154821973e-07,-2.5242520589908287e-07,1.8134839994365248e-08,4.142133476697266e-08,-7.120847559662685e-08,-4.928337271501109e-07,-6.526807351041974e-08,3.4040527689043976e-07,2.4520175754434145e-07,2.4473732173115305e-07,2.4427519563382163e-07,1.281928477910389e-07,3.594402989815592e-07,-2.446989616637189e-10,-9.957330311332785e-08,0.0001276956178584544,0.0,0.0,0.0
makronic,-0.9999999797164698,-1.0810246774303765e-09,-1.1095051693604496e-07,3.0462444913765347e-07,9.29294288625201e-07,-3.30861384120611e-07,2.3431887165088836e-07,-2.0566733355820348e-07,-2.1380743664803217e-08,2.516316818291205e-07,1.062983531004845e-07,8.512544112087445e-07,2.3672735737753916e-08,6.692510381530389e-07,-1.8809626719708795e-07,-2.913934074260957e-07,-2.208159570157077e-07,-2.997606367526627e-07,1.739154661007638e-07,3.818404462443014e-07,3.8111720813630025e-07,3.8039670382885376e-07,3.195113871782276e-07,2.0667874923012195e-07,2.976407610139656e-07,-1.3386184061323686e-07,3.8354299866822707e-07,0.0002014038553100611,0.0,0.0
iunoionnis,7.342533775519374e-16,-5.5559396440101467e-14,-3.455503274665052e-12,-4.973273574004536e-13,-1.5295256743714253e-12,7.621139218539023e-13,-1.015392088671485e-12,1.911089668205448e-12,2.2533310665537503e-12,3.8205802611780304e-13,2.195082070176384e-12,3.982614648529827e-13,-2.80670281556845e-13,6.464613341897738e-14,8.592426788391722e-13,-2.427520837894601e-13,7.606683809547643e-13,-2.1207859257610946e-12,3.276706014489816e-13,1.6082114868830963e-15,-1.9758752448940263e-13,1.8203330509167022e-13,-2.994597307056888e-12,-3.247914100261327e-12,-1.0620311672493513e-12,-2.6911867250304155e-12,-1.999891685230538e-12,-6.016351927081044e-13,1.0,0.0
shaydizzle123,-0.9999999261468485,-2.5420902842915903e-09,-2.6090796982898116e-07,-8.505048363155294e-08,0.00010283673533216959,9.406626625415884e-08,-7.215387959298678e-07,-7.904311283707546e-07,-1.0891870077484693e-06,0.00017121212844444365,4.342203495866509e-09,-4.477008277973328e-05,-6.503698614305401e-05,2.1682237020569516e-05,-0.00014167255774631484,-4.2879874920494146e-07,-2.371983727326707e-07,-6.366336722851268e-07,1.720367985351726e-07,-5.91830592806119e-08,-5.90704125847274e-08,-5.895873962480201e-08,-7.411710210531959e-08,1.5250051387198832e-07,1.6481680047156445e-06,-7.654311187150174e-07,-1.760598335583545e-08,-6.17970597982796e-08,4.4290439568234393e-16,0.00028466729873393554
