username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
jesus_mary_joe,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cupcakesarethedevil,-0.9999999978791113,6.512892715029e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stink3rbelle,-0.9999999954657857,6.055932527926569e-06,9.50355413641041e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moonflower,0.999999996381383,-1.7722754975469644e-05,-4.873946056894243e-05,6.743591496971332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PreacherJudge,-0.9999999968427479,1.2204813033486825e-05,4.44685100183998e-05,-5.24828962605417e-05,3.786348847192038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Literally_Herodotus,-0.9999999950107213,1.791442459468165e-05,5.3737709074039506e-05,-7.300217352289724e-05,9.630722555016548e-07,3.7942644776909555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaraelDraconis,-0.9999999924524415,-3.572563237452782e-07,2.2546376777439574e-05,-3.750464248407827e-05,-3.0460117909856934e-06,-2.0497285450971917e-06,0.00011474568425373055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relevant_password,0.999999994251841,-9.294947772942611e-06,-3.9467838627590684e-05,3.43044628913093e-05,-1.9303155272415532e-05,1.1147058952096382e-05,-5.371454047360374e-05,7.275503130665898e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moduspol,0.9999999952460292,-7.164736817397181e-06,-5.35428910722224e-05,4.046204815147849e-05,-3.1736510454394623e-05,5.7824250011981975e-06,2.7403028025921273e-06,2.321627866678258e-06,6.244235453848627e-05,0.0,0.0,0.0,0.0,0.0,0.0
darwin2500,-0.9999999920672834,8.448525570281128e-06,7.876469675719947e-07,-2.3959481396204545e-05,-1.155414894155388e-05,-2.595716837597322e-05,4.755232614492084e-06,8.781011141272629e-06,1.237315928508206e-05,0.00011899282221668212,0.0,0.0,0.0,0.0,0.0
Godskook,0.999999990357014,-9.510006953118413e-06,5.325033171125901e-07,2.840981261040078e-05,1.3940929050433712e-05,2.899631934061999e-05,-4.611799950414214e-06,-1.0174617783439378e-05,-1.5105513546757721e-05,-0.0001099461336232692,7.008476230686152e-05,0.0,0.0,0.0,0.0
TheManWhoWasNotShort,-0.9999999893364014,8.269751660470116e-06,-7.74727636284882e-07,-2.997255440841311e-05,-1.4645110946200223e-05,-2.4217894369839573e-05,5.0721539471601115e-06,1.0026570816145687e-05,1.4911070045878526e-05,0.0001044700079629921,-6.657845113981169e-05,6.215783403364851e-05,0.0,0.0,0.0
RealFactorRagePolice,-0.9999999878290239,9.71007199451151e-06,-1.3778392635814288e-06,-3.0327238152359666e-05,-1.5255548335708117e-05,-2.3926971254510165e-05,7.310947970881369e-06,1.1794662214776624e-05,1.510567534446056e-05,9.743924025709471e-05,-6.40131468777456e-05,-8.25003934825807e-06,9.186891629193384e-05,0.0,0.0
ChrisMF112,-0.9999999877898448,3.616860553257842e-05,2.3335144066804167e-05,-6.418692968997503e-05,-2.127134714570806e-05,-1.7217004065524885e-05,3.7020122213741285e-05,3.096183084230723e-05,1.4931675250034386e-05,5.506246894812429e-05,-3.0448263963879987e-05,2.8146211431571843e-05,4.0662628151357424e-05,9.349890717511033e-05,0.0
gwankovera,0.9999999880109229,-2.845465468565571e-05,-2.7044736296816923e-05,8.367652302409977e-05,2.3233331608542688e-05,1.6958326087041645e-05,-2.1361355072018145e-05,-2.7125363785238036e-05,-2.202379663043012e-05,-5.1890034547647505e-05,2.6024609397287498e-05,-2.4580131546859277e-05,-3.757322182032551e-05,-1.732410712358275e-05,8.51168877552975e-05
