username,0,1,2,3,4,5,6
arkonum,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Andynonomous,-0.9999999969149891,7.85494864833002e-05,0.0,0.0,0.0,0.0,0.0
shinkouhyou,-0.9999999969149891,-1.4397151116554547e-05,7.721880505567579e-05,0.0,0.0,0.0,0.0
thetasigma4,-0.9999999972838473,-1.2580106257734206e-05,-1.5142406853090573e-05,7.102643133308688e-05,0.0,0.0,0.0
Navvana,-0.9999999969149891,-1.439715252996038e-05,-1.732954555081107e-05,-2.0157137530692266e-05,7.249910715871055e-05,0.0,0.0
otakuman,-0.9999999933900117,1.2649255724762624e-05,1.5225640362171988e-05,1.8922889834732255e-05,2.511741924681971e-05,0.00010880805251999898,0.0
_AISP,0.9999999924598878,-2.0623052581422674e-05,-2.4823530347707705e-05,-4.506703115383095e-05,-4.490325982611453e-05,-8.092553630692072e-05,5.867217219830309e-05
