username,0,1,2,3,4,5,6,7,8,9
FaZeZs,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeleteriousEuphuism,-0.9999999999299092,1.1839851695004058e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mouthpanties,-0.9999999992132338,-3.8052714426331815e-06,3.948484235460572e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DisappointingTaco,-0.999999999213234,-3.8052901966353978e-06,-5.09994939541116e-06,3.915408909413872e-05,0.0,0.0,0.0,0.0,0.0,0.0
capitancheap,-0.9999999983909855,1.6290467107891475e-05,-1.6089398877511417e-06,-1.8320991706337235e-06,5.428355994315776e-05,0.0,0.0,0.0,0.0,0.0
deathnate4,0.9999999982087532,-2.615761344079947e-05,4.721926576529957e-06,5.376851124577768e-06,-3.402911264102139e-05,4.1098487187801005e-05,0.0,0.0,0.0,0.0
ralph-j,-0.9999999990109648,2.6971912217017507e-06,-6.177377553463226e-06,-7.034191369549394e-06,-6.401198135440807e-07,5.2743666951674845e-06,4.3068867211165104e-05,0.0,0.0,0.0
fox-mcleod,-0.9999999992132338,-3.8052620656320735e-06,-5.099943771870791e-06,-5.807311802549653e-06,-1.5174779918882432e-06,4.625780785230395e-06,-7.93231779427777e-06,3.758585230215254e-05,0.0,0.0
DBDude,-0.9999999984867013,1.4185255343138375e-05,-2.9768520235381378e-06,-3.3897339362592884e-06,2.6409657583789423e-05,-2.0394253726182783e-05,-6.032043905672144e-07,-6.059964079275496e-07,4.1120528524922184e-05,0.0
Mangiafuoc0,0.9999999984809093,-2.128777106237594e-05,5.841851829146786e-06,6.6521132128095385e-06,-2.9933063300617175e-05,2.1435022121464244e-05,5.062299035775639e-06,5.179290810943265e-06,-1.643858996075001e-05,2.8783800162127558e-05
