username,0,1,2,3,4,5,6,7,8,9,10
thikthird,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PizzaPTY,-0.9999999964323768,8.447038635927739e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajreil,-0.9999999914140094,-2.251072493416743e-05,0.00012909395055704336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ardonpitt,-0.9999999990333583,-1.1856922633300391e-06,-3.2136330830006216e-06,4.383548571830001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-AragornElessar-,-0.9999999926154817,-1.4188092481954886e-05,-2.866524723708735e-05,-9.539071855335981e-06,0.00011685479967238453,0.0,0.0,0.0,0.0,0.0,0.0
Dembara,-0.9999999987528376,-4.643095218590234e-06,-7.298573217165938e-06,-1.3731256417524844e-06,-6.640796321262729e-06,4.871869648740983e-05,0.0,0.0,0.0,0.0,0.0
Leumashy,-0.9999999926154817,-1.4188095110622925e-05,-2.8665249817122322e-05,-9.539076920743636e-06,-3.0074467931437566e-05,-2.0027787916993104e-05,0.00011112811480781961,0.0,0.0,0.0,0.0
QuantumDischarge,-0.9999999890558426,4.079136834347665e-06,-1.6914223383899175e-05,-7.448127294771104e-06,-1.214669013789111e-05,-2.9610613491680596e-06,-1.659353315360502e-05,0.0001452530695233247,0.0,0.0,0.0
rab42701,-0.9999999964270999,8.231906603489814e-06,4.124605591857801e-06,-2.7612626190910283e-06,9.77751356073034e-07,1.0298223028333742e-05,3.1487150450907162e-06,2.464794751033148e-05,7.955472068604306e-05,0.0,0.0
Havenkeld,-0.9999999942700404,-1.196522375653666e-05,-2.2799325300492154e-05,-7.076359298032291e-06,-2.337158148182006e-05,-1.6551803566420274e-05,-3.388400707186983e-05,-1.336357418028551e-05,1.1965647718063378e-05,9.196079383915719e-05,0.0
yusayu,-0.9999999890558423,4.079140777349724e-06,-1.69142208038642e-05,-7.448119696659622e-06,-1.214668728762815e-05,-2.9610567914803354e-06,-1.659352715931801e-05,-5.121171347640054e-06,4.658952322477997e-05,-2.7914183706912493e-05,0.00013461962541108367
