username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
50pointdownvote,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HarpyBane,-0.9999999996674646,2.5788966172163926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwerty_Resident,-0.9999999996441858,3.5722416551808427e-06,2.6436098376391223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z3r0shade,-0.9999999996621964,3.3643387862938586e-06,-3.4601486198428965e-06,2.554047074632145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nn123654,0.9999999993416467,4.852002567464252e-06,-8.357882878729482e-06,4.037803239274944e-06,3.474199740558892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jm0112358,0.9999999995902031,-1.181634615476655e-05,-7.866095721719353e-06,1.7623704956127594e-06,-9.488205326049862e-06,2.2912007232231056e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MrGraeme,0.9999999995295027,-1.916738916429926e-05,1.2170495339722735e-06,-2.5704145206206775e-06,-1.8921151950886621e-06,-2.0502486775863134e-06,2.3616389628746027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super-commenting,0.9999999994474535,-1.2649020973006288e-05,1.0051395054879259e-06,-1.3449404181069073e-06,-2.441254130732934e-06,-1.939628594534342e-06,-1.5790048174986312e-06,3.0496898303729054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One_Winged_Rook,-0.9999999995726663,-1.0481201016855596e-06,3.836882225645962e-07,-1.5851075736765616e-06,-1.406773663505134e-06,2.10092875330757e-06,1.1529938476886207e-06,7.928053444183489e-07,2.9026851954232835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on_my_lunch_break,-0.9999999996491135,4.3996557253664124e-07,1.146125881877629e-06,-1.0577048469624436e-06,-4.013382075730711e-06,1.1588142985550338e-06,6.654270663724053e-07,-2.4050131295798215e-06,-4.037396897815942e-07,2.598667242142329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UncleTrustworthy,0.999999999496545,-4.954186786624409e-06,-1.1445300157125435e-07,9.386384477188525e-07,-1.002961724691659e-05,-9.552363253953477e-07,-3.323327465104731e-07,3.006505771279917e-06,9.563449555118558e-07,-7.943661071184287e-07,2.9483403798512713e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tunaonrye,-0.9999999996037483,4.1570413903904345e-06,1.4790613607447016e-06,-1.6533932903615155e-06,5.1049107926726155e-06,-4.13101491104723e-06,1.4347054716774187e-06,-1.5577212342864516e-06,-9.966011202265273e-07,-4.7553877780481385e-07,9.424886038682139e-08,2.686005089940823e-05,0.0,0.0,0.0,0.0,0.0,0.0
Ed__,-0.9999999993969125,-2.875300163782216e-06,-1.5697176938103673e-06,-2.8231495447675756e-06,2.6337008982818273e-06,4.469827410604045e-06,2.7270087644879523e-06,3.3603949099770077e-06,-1.4363858547844695e-06,-1.026194930543031e-06,1.8553893912879982e-06,-2.8845919760082404e-06,3.357006074734367e-05,0.0,0.0,0.0,0.0,0.0
Ansuz07,0.9999999992591053,2.4159447309870075e-06,7.929893510261066e-07,3.3043500373533444e-06,-1.2903187948023881e-06,-4.77610131635943e-06,-2.7710350246618506e-06,-2.7979224247488245e-06,-2.3248296567622048e-05,9.817272471198868e-07,-1.8994037105699391e-06,2.0063466766772156e-06,3.7380053532353073e-06,2.93490848572333e-05,0.0,0.0,0.0,0.0
allsfair86,-0.9999999997656129,4.2201789771027224e-07,2.0335617552198782e-07,2.017374843101806e-07,-1.586946045710543e-08,-8.680513947320854e-08,-1.593074563834647e-07,-4.3019957708894754e-07,-4.516569564367394e-07,-4.127511482847504e-07,4.563993544909307e-06,1.7314767342752597e-07,1.1013478461484498e-06,-3.7786298863112823e-07,2.111174176596743e-05,0.0,0.0,0.0
renoops,0.9999999990853513,-2.4669980952868183e-06,3.357276785499614e-07,7.193820530844796e-07,-7.997815008835381e-06,-8.040417198251557e-07,-5.317063865189891e-07,2.214257019209047e-06,6.979214145192886e-07,-7.025888670561853e-07,2.0558813858459804e-05,-1.0318598820446602e-07,2.7387535242825222e-06,-1.060551314372881e-06,-1.1954486159402438e-05,3.431606646309292e-05,0.0,0.0
e36,-0.9999999996145319,-1.6357783775727022e-06,-1.2311955057366985e-06,-2.1270781707602444e-06,3.0088957196286436e-06,3.5892081971902223e-06,2.102847332357961e-06,2.4102570092760457e-06,-1.5895849447114478e-06,-9.449067923725392e-07,2.2827392817451644e-06,-2.2443624173515623e-06,-4.291138166166841e-06,3.959474401056061e-06,6.579401712982854e-07,1.5790133992251747e-06,2.606468301221396e-05,0.0
ACrusaderA,-0.9999999994675275,-2.825133635897429e-06,-3.3419035122016356e-07,-3.0746163288539656e-06,-1.4972321446084934e-06,4.382347737243871e-06,2.4916282148820362e-06,3.0137133674174648e-06,-2.02709773990212e-06,-1.513957387076392e-06,6.341202249776323e-06,-2.756965688371853e-06,-4.471148085377752e-06,4.463140781864916e-06,-2.3732781100419381e-07,1.8132275188779091e-06,-6.652485125578633e-06,2.9477752581250454e-05
