username,0,1,2,3,4,5,6,7
badmonkingpin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salanmander,-0.9999999979786673,6.35819574535057e-05,0.0,0.0,0.0,0.0,0.0,0.0
x1uo3yd,-0.9999999983485273,1.5509364356040913e-05,5.5339001683073175e-05,0.0,0.0,0.0,0.0,0.0
Padfoot95,-0.9999999983485273,1.5509364356040913e-05,-4.129765105983843e-06,5.518469166573092e-05,0.0,0.0,0.0,0.0
moonflower,-0.9999999979786673,-5.757109680804641e-07,1.798089181240716e-05,1.9376776292596823e-05,5.782354177009688e-05,0.0,0.0,0.0
I_am_the_night,-0.1249817627772658,-7.886881389530983e-06,-1.144284320852934e-05,-1.2331175305461465e-05,-1.0603475674602543e-06,0.9921590389785115,0.0,0.0
RhynoD,-0.12498176277727753,-7.88687877033742e-06,-1.144284947797195e-05,-1.233117052736159e-05,-1.0603413273983009e-06,-0.9921590357823432,7.963800307470984e-05,0.0
whatakatie,-0.9999999983485275,1.550936086378283e-05,-4.129767112205478e-06,-4.450368495675332e-06,1.9983817605553073e-05,-7.198246511882238e-10,-1.793567279828004e-05,4.800523617043479e-05
