username,0,1,2,3,4,5,6,7,8,9
_SONNEILLON,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tchaffee,-0.9999999966730888,8.15709680342991e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ajarndaniel,0.9999999829423399,-5.347362146698744e-05,0.00017679335987739366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurilax,-0.9999999853365017,3.9306833397097236e-05,-0.00015106230361083614,7.04425307270744e-05,0.0,0.0,0.0,0.0,0.0,0.0
renoops,0.9999999918846201,-8.202974588782561e-05,2.3266909746549197e-06,-5.83835446404705e-06,9.727477114282359e-05,0.0,0.0,0.0,0.0,0.0
CLIFFORDRight,0.9999999918846201,-8.202974860992895e-05,2.3266897186993505e-06,-5.838356040116242e-06,4.017521666515864e-06,9.71917698338969e-05,0.0,0.0,0.0,0.0
clearliquidclearjar,-0.9999999939643752,1.199717779151636e-05,-5.3685877320901155e-06,9.933031082161951e-06,-1.7882011427506541e-06,-1.715811071589293e-06,0.00010859875343400164,0.0,0.0,0.0
party-in-here,-0.9999999918907695,1.983899269145142e-05,-1.6449152752473418e-05,3.047764619592337e-05,2.6414456389632293e-06,2.5345122494616926e-06,-6.700115426002285e-06,0.00012069433181011666,0.0,0.0
coleman57,-0.9999999918907695,1.9838995413554764e-05,-1.6449152124495632e-05,3.047764619592337e-05,2.6414479216168127e-06,2.534514534064651e-06,-6.7001133813691935e-06,-2.076102333773522e-05,0.00011889533847706078,0.0
proofofinsurance,-0.9999999918907696,1.983899405250309e-05,-1.6449153380451204e-05,3.0477643043784985e-05,2.6414479216168127e-06,2.534514534064651e-06,-6.700114403685739e-06,-2.0761024257598656e-05,-2.4700363332785205e-05,0.00011630130453439862
