username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
prettyinpinkpanther1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drpussycookermd,-0.9999999926229504,0.00012146645329328163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BenIncognito,-0.9999999827295954,1.2144480756233593e-05,0.00018545436177901356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garnteller,-0.9999999827295954,1.2144479842217422e-05,9.617446981633013e-06,0.00018520481953823197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kublahkoala,-0.9999999926229504,-1.2982252439681836e-05,8.804374561966725e-06,8.359037681890361e-06,0.00012015893592193565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaraelDraconis,-0.9999999901901803,-1.0576614892315e-05,7.518430694119405e-06,7.138139449277876e-06,-1.2881898041973836e-05,0.00013868796471190324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHCKris,-0.9999999952397974,-1.1434171369786176e-05,8.135532555575682e-06,7.724026419564154e-06,-1.3927413821084883e-05,-1.1254173912701949e-05,9.45684306678519e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inkwat,-0.9999999901901803,-1.057661672034734e-05,7.5184318914199315e-06,7.138140048734751e-06,-1.288189988989803e-05,-1.0508170581556818e-05,-1.7755178003582908e-05,0.0001371447526028781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdb03b,-0.999999995537625,-1.0198139076505359e-05,7.5729156505102465e-06,7.189867182528442e-06,-1.2466001450780638e-05,-1.0004511463793904e-05,-1.6551565683734543e-05,-1.302645898722319e-05,8.951296148570254e-05,0.0,0.0,0.0,0.0,0.0,0.0
besse,-0.9999999901901803,-1.057661672034734e-05,7.5184318914199315e-06,7.138139449277876e-06,-1.288189988989803e-05,-1.0508171382075469e-05,-1.7755178003582908e-05,-1.373019974459212e-05,-2.195622167494225e-05,0.00013467772325722772,0.0,0.0,0.0,0.0,0.0
Mitoza,-0.9999999865019356,-2.320411023580722e-06,6.587154780014173e-06,6.253967533358613e-06,-3.5140893378988393e-06,-3.0417259162272467e-06,-4.7235696127305755e-06,-3.9205405655906366e-06,-5.601139769876299e-06,-5.305193299153411e-06,0.000163674800203695,0.0,0.0,0.0,0.0
WmPitcher,-0.9999999952397974,-1.1434171369786176e-05,8.135532555575682e-06,7.724026419564154e-06,-1.3927413821084883e-05,-1.1254172311664646e-05,-1.8461011920580772e-05,-1.4633136623846544e-05,-2.3029429871991172e-05,-2.0147452631209246e-05,-5.053615211425853e-06,8.617677773563197e-05,0.0,0.0,0.0
OhNoHesZooming,-0.9999999827295954,1.2144479842217422e-05,9.617446981633013e-06,9.130984077218773e-06,1.2248841715053451e-05,1.0200077369787493e-05,1.7398904023383925e-05,1.334890955625751e-05,2.214826120635946e-05,1.8565119837377952e-05,9.361834558329327e-06,3.589525959782267e-05,0.00017683646843648726,0.0,0.0
fox-mcleod,-0.999999987838332,-1.3930508569767053e-05,1.4602908193658566e-05,1.3864274585797975e-05,-1.7621662832518283e-05,-2.025584924489865e-05,-1.9325626683149515e-05,-2.4537757301142293e-05,-2.370494803046538e-05,-3.1353397229318e-05,-1.3192844974688584e-05,-4.3952712675628766e-05,3.5827991702114316e-05,0.0001307398671518857,0.0
pillbinge,-0.9999999827295953,1.2144481670249763e-05,9.617446981633013e-06,9.130984077218773e-06,1.2248843562977646e-05,1.0200078170306144e-05,1.739890519737298e-05,1.3348910365783946e-05,2.2148263686945524e-05,1.856512148608866e-05,9.361835236639624e-06,3.589525959782267e-05,-7.569627140052858e-06,5.053470217651428e-05,0.0001692928851875624
