username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Slenderpman,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tchaffee,-0.9999999990661147,4.3217711703032604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BartWellingtonson,0.9999999986164209,-4.361765976933829e-05,2.9405067792075126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hacksoncode,-0.9999999997675126,2.4169899896495467e-06,3.3618102434460586e-08,2.1427359441448014e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bweazel,-0.9999999999083998,1.111599658389398e-06,1.2999905756305024e-06,9.606711062939989e-08,1.3426297673538101e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quint-V,-0.9999999997629533,3.3544151526148196e-06,6.506862259043692e-07,5.66884553522033e-07,-4.113588581823344e-07,2.1492496021433153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battlefrisk,0.9999999992729566,-2.65081451654442e-06,2.9232118059571156e-06,-1.6666485666088823e-06,-3.5039303934689277e-06,-2.012756069518601e-05,3.191145510795737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EternalPropagation,0.9999999985168619,-5.215041951661332e-05,-3.0887235710536394e-06,1.454607660757118e-06,5.380947955417203e-06,2.7782881113107763e-06,3.1969416474894985e-06,1.371348529515867e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MasterGrok,-0.9999999997371835,7.127354141456289e-06,2.168967930280466e-06,1.3466442076432187e-06,-1.6423345508305623e-06,1.3571093953704827e-06,-9.91208956106112e-07,5.157088022167456e-06,2.0885376842095863e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allhailbrodin,0.999999999636709,-7.261389457649991e-06,-9.69593798021026e-07,-1.8555133662179787e-06,4.937100123954099e-07,-1.7252587469539576e-06,2.7554750344374154e-06,-2.8258640938291953e-06,-1.987494593467539e-05,1.5989345218254393e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogywigglebuts,0.9999999996219049,-7.234811540957641e-06,-8.167416799890515e-07,-1.9319535842814886e-06,3.1902699876440074e-07,-1.770024104694664e-06,2.9832117162122815e-06,-2.5558189637084774e-06,-1.9944269167737453e-05,2.0595723503568008e-06,1.6696283995342512e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MrGraeme,-0.9999999998880791,1.3494214053087543e-06,1.6630086925294823e-07,1.6868868565672683e-07,-3.3960858555387205e-08,2.236976479299889e-07,1.8703152011999917e-07,2.028398706723995e-06,1.5120714915475292e-06,-5.481698964446472e-07,-4.935208498348504e-07,1.4660618591130786e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Havenkeld,-0.9999999997675125,2.4169899896495467e-06,3.362185374027811e-08,5.844399319661875e-07,1.4914001580349736e-07,5.526119263505596e-07,-7.236452502374238e-07,2.2090528832957153e-06,7.39910293163246e-07,-9.289040585994022e-07,-8.901578438168807e-07,-2.0566760927952243e-07,2.1232384787798205e-05,0.0,0.0,0.0,0.0,0.0,0.0
LastProtagonist,-0.9999999995267044,3.083064025387272e-06,-2.155154957993461e-06,2.2918507457224653e-06,3.5650384394207932e-06,1.9586065634535742e-06,-4.777936003715198e-06,-4.567265018871312e-06,3.104395482867928e-06,-3.3294902049081948e-06,-3.1967566550974635e-06,1.111584469403122e-06,2.1090456389935334e-06,2.8815427131189682e-05,0.0,0.0,0.0,0.0,0.0
Zeknichov,-0.9999999997138652,2.880479982244154e-06,-2.0214403609929252e-07,9.475999834258496e-07,4.333544471176473e-07,7.968381470902096e-07,-1.7584140532985656e-06,1.1868703373406236e-06,-2.73997141703173e-07,-1.1795808378209455e-06,-1.1840737928524601e-06,4.4525234514675463e-07,6.356319482963457e-07,2.381236690940497e-06,2.342155259869465e-05,0.0,0.0,0.0,0.0
darkadvenger,-0.999999999614241,5.542903391648881e-06,2.871501745490782e-07,1.6623756344165033e-06,1.303197299325304e-07,1.2944598976244633e-06,-3.259974036092049e-06,2.424358372758998e-06,-3.5929432732650668e-06,-1.6852200567105462e-06,-1.7510721223142593e-06,1.7321590199018622e-06,1.2287842036980991e-06,4.265571543565639e-06,5.430618834228675e-07,2.603718503695038e-05,0.0,0.0,0.0
yuzirnayme,0.9999999992990215,-6.196638964804607e-06,1.9141973617432306e-06,-2.8607070240154216e-06,-2.4835252542935354e-06,-2.1378528561425056e-06,6.488148115161117e-06,9.389742183047565e-07,1.0453078134951757e-06,3.7994338567732458e-06,3.7395312531755905e-06,-1.9769002084715305e-06,-2.3442839974304994e-06,-6.760430142911371e-06,-1.9957367809218203e-06,-2.3089997925993802e-05,2.6004695160978288e-05,0.0,0.0
KittysOwner,-0.9999999996425996,2.7322309010148087e-06,-1.2575012012420221e-06,1.6091267594800633e-06,1.9098703720384996e-06,1.4092276924598727e-06,-3.0856784420050546e-06,-1.9620850548941225e-06,7.048367028140776e-07,-1.7463560019378921e-06,-1.7409452365396653e-06,1.1666160335091155e-06,1.4658369951033593e-06,3.7472701887356375e-06,1.3422722008821143e-06,1.6191447989069546e-06,-1.8809679448972072e-06,2.5535659192514165e-05,0.0
Ltactics1,-0.9999999995267043,3.083066594294743e-06,-2.1551473718169526e-06,2.291845262715598e-06,3.5650384394207932e-06,1.9586117290845155e-06,-4.7779292665152795e-06,-4.567251444309129e-06,3.1043901670767267e-06,-3.3295037560175265e-06,-3.196761333388783e-06,1.1115843534947676e-06,2.109035181166627e-06,6.65550060113558e-06,2.2529692063275245e-06,3.583389450661793e-06,-2.4062528290402942e-06,2.7290087993970885e-06,2.747506938618768e-05
