username,0,1,2,3,4,5,6,7,8,9
chip_0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colormegray,-0.999999999289527,3.769543775456531e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdb03b,-0.9999999997428884,6.230076910846251e-08,2.267640233277916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stevegcook,-0.9999999995907003,-8.498504668958e-08,-2.51009941586846e-07,2.8609948153776484e-05,0.0,0.0,0.0,0.0,0.0,0.0
McKoijion,-0.9999999990622754,-2.123816224843394e-06,3.9251190633647766e-06,5.475733878941261e-06,4.2726435237548595e-05,0.0,0.0,0.0,0.0,0.0
cacheflow,-0.9999999998116095,2.8457252456052364e-07,1.38564890417034e-07,1.209605893536815e-07,-1.8617080644119375e-06,1.9318391456910155e-05,0.0,0.0,0.0,0.0
NotGuyFawkes,-0.9999999997079617,-1.6334329195647572e-08,-2.351079288642636e-07,-2.781150581755157e-07,3.2653050353071143e-06,5.038315046206776e-07,2.393799543299656e-05,0.0,0.0,0.0
elementop,-0.9999999995418756,-5.3188180841002434e-08,-1.2158087498149265e-07,-1.221402762153003e-07,1.8711975864452847e-06,2.698261982393483e-07,-4.1803814611247804e-07,3.0207074070842447e-05,0.0,0.0
ubbergoat,-0.9999999994836786,2.0565762797412243e-07,-4.14735067035084e-08,-7.647397691421517e-08,5.863729492363826e-07,1.9971310973175426e-07,-1.6357913588935595e-07,-7.281651480804993e-08,3.2127515194516246e-05,0.0
ChargeTheCharger,-0.9999999991830051,1.0219794249162167e-06,6.467487618966777e-07,6.401469860303282e-07,-9.232881391872125e-06,-8.916833175059652e-07,2.0536022473463106e-06,9.067111541808555e-07,5.430699446644346e-07,3.925228345460454e-05
