username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Nessunolosa,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_Hopped_,0.9453911941141357,0.32593786231649846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
techiemikey,-0.9453925668981249,-0.325933853608274,0.00013238517626399713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brimjobtime,-0.9570135716216351,-0.2900431185017328,5.588986174969129e-06,0.00011450133030636082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6-6-,-0.9418231636448418,-0.3361087956454627,2.373323832705889e-06,1.43018703432359e-05,7.550895510732515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derpese_Simplex,0.9429447251106691,0.3329492890091708,-8.11785088482474e-06,-3.8469191005221954e-05,-5.560292336045839e-05,0.00010815169584845494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ProfessorHeartcraft,0.9595479910512329,0.281545068725277,-7.080045957171185e-06,-6.508528129486551e-05,-2.6923444111762187e-05,4.6554170486510655e-06,0.00014870526779583464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neofederalist,-0.9977395086064621,-0.067200056610073,4.117794397946098e-06,9.90816092646176e-06,8.40426640452268e-06,-2.2487322026198577e-05,-3.192526957661215e-06,0.00015702135958095445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wierd_Carissa,0.9463042666516909,0.3232773140912471,-6.080729995694298e-06,-2.1063613355936646e-05,-6.483971123169148e-05,1.0212652630709953e-05,2.2635294220754764e-06,-1.6359922980648985e-06,9.118013654993196e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark_to_water,-0.9531156190756042,-0.30260633517931695,8.485290314361236e-06,2.452396475670968e-05,5.572473346439555e-05,-1.5318107924830353e-05,-4.821828667089789e-06,3.560777251298635e-06,-7.740879516482495e-05,0.00011199153896243061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
