username,0,1,2,3,4,5,6,7,8,9,10,11
AlexaWikipediaSmegma,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minigirl17,-0.9999999989414934,4.601101086003037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-AragornElessar-,-0.999999999496655,1.271086949213313e-06,3.170290595595486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
math2ndperiod,-0.9999999989646902,5.568959996524276e-06,8.276146595241543e-07,4.515441689444487e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnmgod,-0.9999999991160016,1.8658768923849632e-06,9.677806008494013e-07,3.6275908583781315e-06,4.1838010743403456e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo93,0.9999999992269033,-3.6480026777165716e-06,1.7347483204142644e-06,-7.561243828970897e-06,-2.4963227474853354e-05,2.9146884603441417e-05,0.0,0.0,0.0,0.0,0.0,0.0
RetiredGaymerEsq,-0.9999999990654114,2.1984370015040522e-06,1.7921279318724573e-07,3.2950851566963673e-06,1.2130967990813205e-05,-2.4612393877585533e-05,3.3174146639510245e-05,0.0,0.0,0.0,0.0,0.0
Government_Slavery,0.9999999990075155,-2.6957473544168375e-05,2.6288126672999814e-06,-1.9188481512129937e-06,-2.6861828303213545e-06,-5.453693666230891e-06,-3.224421597699201e-06,3.4645573103851896e-05,0.0,0.0,0.0,0.0
Havenkeld,-0.9999999993430084,-2.1647425574436343e-06,-3.0785413497951935e-06,1.1491884861200367e-06,-3.188885148256369e-07,1.5830653822084926e-06,9.421124734131737e-07,1.8853130531851356e-06,3.593673689700439e-05,0.0,0.0,0.0
palacesofparagraphs,-0.9999999991324824,-4.810719183529607e-06,-3.827659580217401e-06,7.005503090702506e-06,2.6024928720071943e-06,-2.9913062270624707e-06,2.1821505428399297e-06,-4.0813488213245375e-06,-1.165047599610746e-05,3.84095112750122e-05,0.0,0.0
undiscoveredlama,-0.9999999992011621,-4.843933450393804e-06,-3.7759041162112596e-06,5.319223296914561e-06,1.26064335235324e-06,-2.1513698754045386e-06,1.3535832562519096e-06,-3.1791877667512457e-06,-1.107456887986411e-05,-2.4171027648408973e-05,2.8401034695515972e-05,0.0
Hq3473,-0.9999999991610351,3.1474384607379405e-06,-1.2727732844695986e-06,7.133113387023616e-06,2.3232577092040168e-05,-2.964284738337871e-05,-1.2780794552626886e-06,-1.1973130250042014e-06,2.3276020680742757e-07,-1.882576038942674e-07,-4.86983151217954e-07,1.3916795083658144e-05
