,username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,minerva_qw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,PreacherJudge,-0.5697548480006969,0.8218147073274504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,exosequitur,-0.8003129344125236,-0.5995825125273538,0.0001329789510029327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,PorkyPotPie,0.8003460083036122,0.5995383393216398,-0.000113690720922163,0.0001837126689729892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,hacksoncode,0.6740875770828291,-0.7386514222350613,3.1704856787892686e-06,1.5760376764887498e-06,0.00012182030423574682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alacritous,0.5697388060015979,-0.8218257946968035,2.3124987680373822e-05,2.1688109748631508e-05,-8.88517597468042e-06,0.00023456929802087895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,lerdnord,-0.5697330717777874,0.8218297632790313,-2.9437934514365244e-05,-3.0029140618368834e-05,1.1132818788588516e-05,-0.00022244163305480439,0.0001254544424819439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,forestfly1234,-0.9999999844392884,1.3212332423088925e-05,-2.21991921925742e-06,8.823265809870729e-06,-1.2835556899595168e-06,-1.6296931945790975e-06,9.546827692392224e-07,0.00017566691434875325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,yaxamie,-0.9999999844392886,1.3212332421873077e-05,-2.2199167145985634e-06,8.823268831499642e-06,-1.2835566013207482e-06,-1.629694141184671e-06,9.546827692392224e-07,-1.1996850847314782e-06,0.00017566281543493197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Tynach,0.9687501899743198,0.019028659792398865,-0.002129861772195905,0.010979404552754991,-0.003101369507146416,-0.0037511356721956976,0.0023984888227249995,0.006269847314615683,0.0063128131969082115,0.24683454182839026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
