username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
morflegober,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in_cavediver,0.9999999720638076,0.00023637339939525472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UncleMeat11,-0.9999999426266923,-0.0002077354376018605,0.00026756793522296387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linuxmoose5000,-0.9999999686309793,-0.00010482821065379807,1.573988195040496e-05,0.00022693907276184855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AloysiusC,0.9999999486214396,0.0001152349610473722,-8.910459342609897e-06,-3.3479530955368406e-05,0.00029711571240372816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zardeh,-0.9999999726789516,-0.00022615320389897866,-7.065233856064046e-07,2.203272376159691e-06,-3.2956839991415398e-06,5.899668842626252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ellipses1,0.9999999630775815,0.0002089955209687675,3.281242022856255e-06,-1.872642362147971e-06,4.658950080975408e-06,-5.7108960585637755e-05,0.00016391551255245308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milskidasith,-0.9999999545471141,9.131794282033131e-06,1.5799950720115724e-05,-1.5811994085967218e-05,-4.025987151708756e-06,-3.3603877376775733e-06,-1.429924448325547e-05,0.0003001512172070699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greed_and_death,0.9999998959183012,-2.3855036010938532e-05,-2.5757246381075245e-05,1.4996386302836475e-05,3.1831788790178262e-06,8.945457981063778e-06,2.7306101021123198e-05,-0.0002728072703393804,0.00036255539282355675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floppuh,0.9999999362426877,-1.8591532935513667e-05,-2.2180641759529614e-05,2.4488499770001696e-05,3.557901372036594e-06,6.099499315970478e-06,2.1530531173975077e-05,-0.00028821409439119025,9.51182955325297e-06,0.00020592727494514704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kublahkoala,-0.9999999436741406,-4.795115139205e-05,9.756516644661068e-06,7.986644992528839e-05,-9.690912007974307e-06,2.697724280748062e-06,1.4573701675070366e-07,1.669140218037875e-06,-1.5236305117590139e-06,3.5083037397875975e-07,0.0003221368032499803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anooblol,0.9999999030868194,1.0335301568657695e-05,-1.3690404057921725e-05,-5.865268214344964e-05,4.973462507963121e-06,4.583261660119605e-06,1.1277288698680573e-05,-3.426569274079489e-05,3.1835975983508606e-05,2.5878236185160776e-05,-0.000253445482990601,0.0003504669558857447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emijah1,0.9999999121097787,-9.97077188932685e-05,-3.521280715356315e-05,6.974794923842718e-05,-7.07052889073223e-06,2.3063991305950828e-05,4.714708685134401e-05,-7.938717506078488e-05,9.969758335861217e-05,7.47410979309528e-05,-0.0001304520081302596,6.534291108898754e-05,0.00033736288145975036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeternalis_,0.999999956814942,8.561453669604954e-05,-1.8622897838741077e-05,-0.00018526766410188194,3.3563525544393503e-06,5.591133530463433e-07,3.984479528224031e-06,-3.7359084456122156e-06,6.89939834129054e-06,3.413925716464788e-06,-4.457576409905986e-05,6.003995525107554e-06,1.059345121399377e-05,0.00020526424482895917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
