username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
cookietrixxx,0.9999999953180893,6.559268952289456e-06,9.382389170436634e-06,1.9052173141694246e-05,3.5686067673997624e-06,3.889182490528107e-06,-1.3963246523742746e-05,7.3978158471975324e-06,-2.2271345244797744e-05,9.521558128979933e-06,-1.528871529763724e-05,1.4985757310548525e-05,-1.370637539002983e-05,-1.8112785791014958e-06,2.9302817644180396e-06,3.128583868623542e-05,-4.1395390653527064e-05,-2.619980643186003e-08,-2.6139197777050456e-08,-1.179675692013528e-05,-1.6445504617233014e-06,5.023725729217453e-07,1.2791600357770822e-06,6.71666548093712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joalr0,-0.9999999941589696,-8.775230341012526e-06,-2.1113561382612135e-05,-1.4741850118463628e-05,-4.384792307517283e-06,-9.949441033722202e-06,2.60357845867908e-05,-1.6069992554987488e-05,5.746392264237811e-05,-2.402875060925394e-05,1.2191378708786902e-05,-9.248002921306894e-06,5.101898023031921e-06,-3.752731376265121e-06,1.0208077464779523e-06,-6.228225012700849e-06,1.7198010178848953e-06,2.1003431279816484e-06,2.0954880063578985e-06,7.169667659818825e-06,-9.645575822250502e-07,2.2817196989291226e-07,-5.307570008586851e-06,-3.585352656582836e-07,7.484382209704032e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thebedshow,0.9999999940398716,1.5077056531095622e-05,2.8456851010667863e-05,1.433585304384938e-05,1.0053600400721272e-05,8.463502776227505e-06,-2.6664749939263237e-05,1.4811216373930232e-05,-6.440479024953893e-05,2.3161150356503538e-05,-1.2391769238805812e-05,8.694580605121515e-06,-5.435194044177543e-06,4.6062603847775065e-06,-2.312557045480621e-06,6.097271923110163e-06,-3.8964197749257744e-06,3.571765935243263e-06,3.563505108326371e-06,-6.728807297044473e-06,-8.16697051209046e-07,2.8078122093321557e-07,2.451436687834073e-06,2.153345270677105e-06,-3.2307230098245424e-05,5.853740343298981e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ThatSpencerGuy,-0.9999999985143354,2.0532522415554377e-07,3.11677191396403e-06,3.1829184619461426e-06,1.8594735722592824e-07,1.8638026599006758e-06,-8.646266538250449e-07,2.012321329915948e-06,1.1750812145131509e-07,2.889259353248504e-06,-2.1182819627544e-06,1.5020234153152173e-06,-1.5331133511448438e-07,5.38791564347795e-07,9.770679047253124e-07,1.210816622541287e-06,9.014362740880423e-07,-8.224649650614075e-07,-8.205641635096924e-07,-2.3385473964458292e-07,-6.954122366627753e-08,8.683517137550753e-08,1.0133870526846825e-06,-9.139807275956501e-07,2.7550824596626264e-06,3.0985311389830734e-06,5.388890321831435e-05,0.0,0.0,0.0,0.0,0.0,0.0
VertigoOne,-0.499918302249293,-0.02782082142892856,-0.1463863406596925,0.29945727101087716,-0.01704618389255531,0.002122185937854722,0.013834235050870732,-0.014155772304298644,0.0889787261606157,-0.04663621442814277,0.058734007971108976,-0.02621766252632677,-0.00296664936476497,0.05552783201521271,-0.043380935797457026,0.017723721243872673,-0.04136371842375593,-0.007915192414067965,-0.007896870473496503,-0.016553541341851778,0.03767362996782928,-0.011036764239364573,0.015439388506479313,0.03133914391226624,0.002799359560099002,-0.021066738188224094,-0.009463084167968585,0.7826793976484159,0.0,0.0,0.0,0.0,0.0
TheActualIsh,-0.49988210018122653,0.02782932618513842,0.14639648035695108,-0.2994937096528042,0.017053998103987538,-0.0021359805859709684,-0.013812602396087347,0.014139760503954903,-0.08893664141911048,0.04662344790412178,-0.058727063939154965,0.026211335761192174,0.002972536539155341,-0.05555121687840282,0.043399350655550326,-0.01773969328611573,0.04138370288624287,0.007928873125427501,0.007910519537844319,0.0165628334554728,-0.03769463097328616,0.011042799460066715,-0.01545028905182547,-0.031353949139239834,-0.0027909554099402895,0.021065319367873692,0.009475882699262042,-0.7826865190142859,0.00015567949700889957,0.0,0.0,0.0,0.0
moe_overdose,0.4998876861951856,0.027818873811184645,0.146385562317493,-0.2994564683686337,0.01704452543367802,-0.002120497459863121,-0.013835570735142303,0.014157690776711097,-0.08898495514660071,0.046638728799118664,-0.05873562056227159,0.026218791096712397,0.0029661421796382576,-0.055525525789592696,0.043379178381067626,-0.017722198361115844,0.04136159966239753,0.007912604745828163,0.00789428878954628,0.016554502571521527,-0.037670817944465675,0.011035962116239507,-0.015438540394306803,-0.03133739434947394,-0.002800121380733926,0.021067797017249385,0.009461054928748578,-0.782699106512751,-2.1645492342810378e-05,3.490264381444914e-05,0.0,0.0,0.0
pillbinge,-0.9999999975546673,3.839736477415207e-06,9.029424713182539e-06,1.5639739444999486e-06,1.7703941469390652e-06,1.3877151765960785e-06,-4.607609881758355e-06,2.6215368024646002e-06,-3.150731351262757e-06,4.4676589583454455e-06,3.551667827306697e-07,4.181993018217546e-07,-4.4366228714595413e-07,1.320429277322178e-06,4.6077833650716847e-07,1.6177381099072537e-06,-6.129442923652638e-07,6.65385056706562e-07,6.638384978385422e-07,-2.864065550926953e-06,-2.706632477945921e-07,1.4326643664110108e-07,2.619782390929826e-06,-1.2844011041049838e-07,2.06436831880465e-06,4.046188985198214e-06,-1.2503604626382424e-06,-6.145994688800446e-07,6.140706859939097e-06,-1.4296912424483697e-06,6.815469655023218e-05,0.0,0.0
RarelyNecessary,-0.9999999980806549,2.652822216674689e-06,7.047849648711111e-06,4.896307680092312e-06,1.4188753497158618e-06,1.9546175864596013e-06,-3.2922920797689966e-06,2.7487742213909767e-06,-3.1291611780257032e-06,4.650302472428017e-06,-1.2458582557598039e-06,1.2948017322108257e-06,-5.77544974257438e-07,1.4950311805953425e-06,3.727348436050425e-07,1.7282775618407108e-06,-1.1257776801184725e-07,1.407561394092526e-07,1.4042687113132348e-07,-1.615079374242595e-06,9.74665021096573e-08,4.4248708048100276e-08,1.802774349483183e-06,-3.3953480986766905e-07,1.9796614734838025e-06,4.53614913844669e-06,-1.33190241254363e-06,-5.730400364564867e-07,5.535469121950832e-06,-1.5365528960354893e-06,-4.367726095673772e-07,6.02296375037006e-05,0.0
ieattime20,1.0078186732795911e-15,-8.517174470334958e-12,2.0130886409988777e-12,-5.08184758988912e-12,8.560015584049683e-12,7.61865869271112e-12,4.613475361020493e-12,-6.511106563056664e-12,4.444160918231e-12,5.106372613591144e-12,1.1777098300077022e-11,-6.392257741052987e-12,-2.504958234026416e-13,3.885723058404362e-12,-1.3363124632706106e-12,-1.411235317579032e-12,-2.7411087276130364e-12,8.270184121997381e-12,2.2158406921868603e-12,7.686607218437412e-14,-4.066787558893638e-13,1.1239597436420552e-12,-1.4976398353088842e-12,2.5068798622895858e-12,-3.305993232568044e-12,5.102186402894772e-12,6.907349131854975e-12,5.313588266474032e-13,-1.751513188450144e-12,6.941764455959673e-12,1.8929327532858124e-11,-7.281853335259648e-13,0.9999999999999999
