username,0,1,2,3,4,5,6,7,8,9,10,11,12
sittinginabaralone,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ArticSun,0.999999974058574,0.00022777807526304941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6-6-,-0.9999999746564532,-0.00021956557580474637,4.978002709575486e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goldsalt132,0.9999999716994116,0.00021747928202810312,-5.8650316169223265e-05,7.65772717983125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kublahkoala,0.999999971267645,0.00018571029562327283,-4.949181531806683e-05,-5.145607896376517e-05,0.0001337132299961162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinewood74,-0.9999999906060324,-8.568610426235279e-05,2.0657965223445383e-06,-1.7305619893623697e-05,-1.765980328465169e-05,0.00010406827651266005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark_to_water,0.9999999367327684,0.00010593264711885984,-4.004093879758166e-05,-8.361343982934818e-05,-3.278436048753495e-05,-3.6844675020455495e-05,0.0003229332827902258,0.0,0.0,0.0,0.0,0.0,0.0
ThisIceAintNice,-0.9999999338957637,-8.02219627529555e-05,4.443427491830277e-05,0.00013180211229240092,8.177202007015508e-05,7.132316710280843e-05,-0.00020490986669824667,0.00022948854590192487,0.0,0.0,0.0,0.0,0.0
Liolios23,0.9999999640471614,0.00015965827352593134,-3.281326594685233e-05,2.4116996722645184e-06,4.2145700790079453e-05,-2.566407140799982e-05,7.231997787710446e-05,-7.001935649589688e-05,0.00018100991942230244,0.0,0.0,0.0,0.0
ThisIsReLLiK,-0.9999999535201044,-0.00015782620386363544,4.1031797811040357e-05,2.719785939282171e-05,-2.3804520499944606e-05,3.810401757518266e-05,-6.841616220243988e-05,5.4748187747820815e-05,-0.00018188161570237055,0.00015116123145690426,0.0,0.0,0.0
milk____steak,0.09999890510855695,1.3013010002010237e-05,-2.9172554912880073e-06,4.0986927717447886e-07,8.464473578312124e-06,4.188700969444904e-07,1.2190651839156384e-05,-4.978889507777289e-06,-8.401797110242187e-07,-2.1922535077239893e-06,0.9949875469312857,0.0,0.0
fox-mcleod,0.09999890510859112,1.3013010489424588e-05,-2.9172540973767728e-06,4.0987036453009874e-07,8.464467454838173e-06,4.1886889677000447e-07,1.2190652440794677e-05,-4.978885214216883e-06,-8.401797876928778e-07,-2.1922447859781482e-06,-0.9949875292887961,0.0001873715766980451,0.0
Bpbegha,-0.9999999633040765,-0.000132440227138966,3.063856146703679e-05,2.9668614073707016e-06,-7.327877747713627e-05,-1.9839695037778943e-06,-0.00011841655371290109,4.824192901273486e-05,6.994038932479359e-06,1.8301101868105988e-05,-3.1160100339567595e-09,-3.309351187117972e-05,0.00017804887454270918
