username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
wobblyweasel,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raunchy_Potato,-0.9999999988790746,4.73481846964968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grandoz039,0.9999999948826919,-2.6672579709899382e-05,9.758683149524818e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FlexPlexico12,-0.9999999991316162,1.02949640620507e-06,1.0090422166486543e-06,4.164960387749508e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onelasttimeoh,-0.9999999967454943,8.45418592038872e-06,-7.71658269416405e-06,1.3065362095183415e-05,7.878634762467068e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FrostbiteOrange,-0.9999999970564208,3.5841202192784323e-06,-1.62757119759095e-05,1.18239210265113e-05,8.557006276981537e-06,7.346009804457814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thedylanackerman,-0.9999999970564207,3.584122564084325e-06,-1.6275713113586586e-05,1.1823923692138153e-05,8.557004867824927e-06,3.295669375499157e-05,6.565243709301788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AurelianoTampa,-0.9999999980054136,6.079870646009803e-07,3.777998079950719e-08,-2.564039812474008e-07,-5.181902871913147e-06,-3.8038765360939285e-06,-2.346750171001829e-06,6.278460905382669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PM_ME_UR_RACOON,-0.9999999989100422,-3.5579217030445996e-06,-1.0997037039382449e-06,-3.2628072354037984e-06,5.366840585292032e-06,3.6676741461358764e-06,2.2627247119477866e-06,-8.403833216147103e-06,4.513759239162778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdb03b,-0.9999999978408376,-2.2513653774200849e-07,8.235735467540849e-07,-2.2457586351158675e-06,-1.0587684090941174e-06,-4.480579689779281e-06,-2.7642326462358053e-06,-4.427204781798685e-06,-4.125522513307174e-06,6.516973742425642e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheexthro,-0.9999999991102441,-1.0947218717091e-06,-1.9085522961184914e-06,1.4046787258223945e-06,2.8519032843003865e-06,5.4313153236280146e-06,3.350778985359008e-06,-1.4190643068237517e-08,-1.1512254381562653e-06,-9.578672150802917e-07,4.149210072503922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Positron311,-0.999999997126216,3.6489963087045212e-06,-1.8448446544414618e-06,4.545171007504684e-06,-4.947089469511613e-06,-1.4992524812450734e-06,-9.249463277877398e-07,-6.730741367814226e-06,1.6223845550624275e-06,-3.3872006881648016e-06,1.4711115059436677e-06,7.497360549640837e-05,0.0,0.0,0.0,0.0,0.0,0.0
kogus,-0.9999999978408376,-2.2513653774200849e-07,8.235735677308706e-07,-2.2457573110493223e-06,-1.0587712274073357e-06,-4.480577524100667e-06,-2.764231480425215e-06,-4.427205961730352e-06,-4.1255249729488295e-06,-3.945522369884629e-06,-1.5955622029081016e-06,-3.0912214723924457e-06,6.495710916284473e-05,0.0,0.0,0.0,0.0,0.0
kjdtkd,-0.9999999967454943,8.45418592038872e-06,-7.716579365130632e-06,1.3065363693951379e-05,-3.6069364412416662e-06,9.59758927227802e-06,5.92110760319942e-06,-5.997500137506154e-06,7.603212309255824e-06,-3.537006738458689e-07,4.129428538355885e-06,-5.971661718981333e-06,-5.590929297512374e-07,7.694267969703501e-05,0.0,0.0,0.0,0.0
BrennanDobak,-0.9999999991043528,7.191167950571044e-07,3.943033922297298e-07,3.061038031421744e-06,6.295250734791102e-06,4.69359031709591e-06,2.895650405284634e-06,1.0694290745866494e-06,-4.3775669130002575e-06,-6.604222843858317e-07,-9.481699686262693e-07,3.2434143655943093e-06,-5.71639897017501e-07,6.74426796539141e-06,4.0413282774872156e-05,0.0,0.0,0.0
princekadakithis,-0.9999999985511889,-9.228757374796952e-07,4.239661719134253e-07,-3.4513991688083143e-06,3.6546927587242205e-06,-1.2090536336106064e-06,-7.459028340607899e-07,-8.421034390507457e-07,-6.154771152408472e-06,-2.134639577937559e-06,-2.953492728394598e-06,1.159458596412292e-06,-2.2886567313523505e-06,4.886410862178159e-06,-5.105079898120729e-06,5.254438340222693e-05,0.0,0.0
RYouNotEntertained,-0.9999999971262162,3.6489916190927365e-06,-1.8448436673960269e-06,4.545164261258502e-06,-4.947090878668222e-06,-1.4992549745780887e-06,-9.24943977805381e-07,-6.73074433605842e-06,1.622377176137462e-06,-3.3872048316206827e-06,1.4711092396573e-06,-6.3816243402334844e-06,-3.871593128675369e-06,-6.342259020369377e-06,7.532905544988619e-06,2.9482480739340107e-06,7.388954898725276e-05,0.0
acamann,-0.99999999664479,1.0989052399014192e-05,-1.130739929506034e-05,1.9608537113427888e-05,1.9595900905001388e-06,1.6236402548930135e-05,1.0016832542790659e-05,-5.804915363153997e-06,1.0924090111117965e-05,5.502136715296844e-07,6.8584720604622415e-06,-4.840595083231553e-06,5.235457529083343e-07,-2.967117756918613e-06,1.712971805462713e-05,1.1014785607303918e-05,-7.74276865620774e-06,7.072428322309826e-05
